name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,08/31/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
			PreferredStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","1,000,000",,,,,,,,,"0",,,"-1,000,000","0",,,,,,,"96,000,000",,,,,,,,,,,,,,,,,,,,,,,
			PreferredStockPayments,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,"0",,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,"0",,,"0","-15,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		CashDividendsPaid,,,"0","0","0","0","0","0","-141,000,000","-179,000,000","-143,000,000","-146,000,000","-148,000,000","-186,000,000","-148,000,000","-148,000,000","-148,000,000","-185,000,000","-148,000,000","-148,000,000","-147,000,000","-185,000,000","-148,000,000","-148,000,000","-150,000,000","-150,000,000","-148,000,000","-150,000,000","-151,000,000","-197,000,000","-151,000,000","-114,000,000","-106,000,000","-98,000,000","-91,000,000","-82,000,000","-75,000,000","-65,000,000","-58,000,000","-51,000,000","-43,000,000","-35,000,000","-28,000,000","-17,000,000","-17,000,000","-8,000,000","-7,000,000","-10,000,000","-10,000,000","-3,000,000","-18,000,000","-3,000,000","-3,000,000","-30,000,000","-107,000,000","-106,000,000","-107,000,000","-211,000,000","-106,000,000","-107,000,000","-107,000,000","-133,000,000","-106,000,000","-92,000,000","-62,000,000","-49,000,000","-44,000,000","-42,000,000","-37,000,000","-9,000,000","-27,000,000","-11,000,000","-9,000,000","-9,000,000","-8,000,000","-9,000,000","-9,000,000","-9,000,000","-8,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-77,000,000","-77,000,000","-68,000,000","-62,000,000","-55,000,000","-52,000,000","-51,000,000","-51,000,000","-51,000,000","-51,000,000","-48,000,000","-69,000,000",,,,,,,,,,,,,,,,,,,,
			CommonStockDividendPaid,,,"0","0","0","0","0","0","-141,000,000","-179,000,000","-143,000,000","-146,000,000","-148,000,000","-186,000,000","-148,000,000","-148,000,000","-148,000,000","-185,000,000","-148,000,000","-148,000,000","-147,000,000","-185,000,000","-148,000,000","-148,000,000","-150,000,000","-150,000,000","-148,000,000","-150,000,000","-151,000,000","-197,000,000","-151,000,000","-114,000,000","-106,000,000","-98,000,000","-91,000,000","-82,000,000","-75,000,000","-65,000,000","-58,000,000","-51,000,000","-43,000,000","-35,000,000","-28,000,000","-17,000,000","-17,000,000","-8,000,000","-7,000,000","-10,000,000","-6,000,000","-1,000,000","-16,000,000","0","-1,000,000","-28,000,000","-105,000,000","-103,000,000","-105,000,000","-209,000,000","-104,000,000","-104,000,000","-105,000,000","-131,000,000","-104,000,000","-89,000,000","-55,000,000","-43,000,000","-38,000,000","-36,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStockDividendPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","-4,000,000","-2,000,000","-2,000,000","-3,000,000","-2,000,000","-2,000,000","-2,000,000","-3,000,000","-2,000,000","-2,000,000","-2,000,000","-3,000,000","-2,000,000","-2,000,000","-2,000,000","-3,000,000","-7,000,000","-6,000,000","-6,000,000","-6,000,000","-9,000,000","-9,000,000","-8,000,000","-11,000,000","-9,000,000","-9,000,000",,,"-9,000,000","-9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-37,000,000","-10,000,000","-27,000,000","0","0","-11,000,000","-8,000,000","-30,000,000","-7,000,000","-8,000,000","-55,000,000","-17,000,000","-2,000,000","-75,000,000","-1,000,000","-8,000,000","-1,000,000","-6,000,000","0","-43,000,000","-6,000,000","-5,000,000","-2,000,000","-2,000,000","-3,000,000","-1,000,000","-11,000,000","-7,000,000","-8,000,000","-2,000,000","1,000,000","0","-9,000,000","-2,000,000","2,000,000","-1,000,000","-4,000,000","-2,000,000","-3,000,000","-11,000,000","-6,000,000","-4,000,000","-11,000,000","-5,000,000",,,"17,000,000","10,000,000","-16,000,000","13,000,000","-12,000,000","5,000,000",,,"2,000,000","2,000,000","-6,000,000","-18,000,000","323,000,000","-286,000,000","10,000,000","-4,000,000","53,000,000","-43,000,000","100,000,000","4,000,000","98,000,000","-14,000,000","130,000,000","-189,000,000","-782,000,000","672,000,000","-13,000,000","1,000,000","-165,000,000","81,000,000","-4,000,000","2,000,000","-103,000,000","4,000,000","4,000,000","-8,000,000","-4,000,000","-320,000,000","280,000,000","-2,000,000","-6,000,000","-7,000,000","289,000,000","-274,000,000","-5,000,000","-131,000,000","-6,000,000","-3,000,000","-5,000,000","-294,000,000","16,000,000","-16,000,000","-16,000,000","-1,000,000","18,000,000","0","5,000,000","0","0","11,000,000","17,000,000",,,,,,,,
EndCashPosition,"429,000,000","430,000,000","953,000,000","1,179,000,000","1,591,000,000","2,141,000,000","2,476,000,000","2,568,000,000","1,733,000,000","2,962,000,000","1,750,000,000","2,215,000,000","1,310,000,000","1,274,000,000","1,756,000,000","1,475,000,000","846,000,000","520,000,000","1,109,000,000","972,000,000","838,000,000","584,000,000","372,000,000","340,000,000","266,000,000","234,000,000","239,000,000","265,000,000","262,000,000","485,000,000","684,000,000","387,000,000","440,000,000","392,000,000","861,000,000","354,000,000","393,000,000","1,075,000,000","417,000,000","254,000,000","465,000,000","1,312,000,000","826,000,000","524,000,000","634,000,000","154,000,000","1,113,000,000","838,000,000","1,171,000,000","1,245,000,000","1,642,000,000","1,019,000,000","1,346,000,000","653,000,000","508,000,000","494,000,000","505,000,000","317,000,000","488,000,000","559,000,000","497,000,000","1,171,000,000","364,000,000","223,000,000","524,000,000","481,000,000","184,000,000","402,000,000","404,000,000","589,000,000","347,000,000","317,000,000","771,000,000","526,000,000","764,000,000","547,000,000","312,000,000","313,000,000","361,000,000","394,000,000",,"243,000,000","341,000,000","352,000,000","86,000,000","217,000,000","-89,000,000","313,000,000","188,000,000","155,000,000","126,000,000","277,000,000","290,000,000","310,000,000","284,000,000",,,,,,,,,,,,,,,,,,,,
	ChangesInCash,"-1,712,000,000","-524,000,000","-226,000,000","-410,000,000","-552,000,000","-335,000,000","-95,000,000","835,000,000","-1,231,000,000","1,220,000,000","-467,000,000","907,000,000","35,000,000","-482,000,000","282,000,000","629,000,000","329,000,000","-588,000,000","141,000,000","133,000,000","254,000,000","33,000,000","36,000,000","73,000,000","33,000,000","9,000,000","-25,000,000","9,000,000","-222,000,000","-192,000,000","300,000,000","-46,000,000","47,000,000","-470,000,000","512,000,000","-42,000,000","-677,000,000","658,000,000","163,000,000","-211,000,000","-847,000,000","486,000,000","302,000,000","-110,000,000","480,000,000","-959,000,000","275,000,000","-333,000,000","-74,000,000","-397,000,000","623,000,000","-327,000,000","693,000,000","145,000,000","14,000,000","-11,000,000","188,000,000","-171,000,000","-71,000,000","62,000,000","-674,000,000","807,000,000","141,000,000","-301,000,000","43,000,000","297,000,000","-218,000,000","-2,000,000","-185,000,000","242,000,000","30,000,000","-454,000,000","245,000,000","-238,000,000","217,000,000","235,000,000","-1,000,000","-48,000,000","-33,000,000","151,000,000",,"-98,000,000","-11,000,000","170,000,000","-35,000,000","105,000,000","-201,000,000","125,000,000","33,000,000","29,000,000","-151,000,000","-13,000,000","-20,000,000","26,000,000","-152,000,000",,,,,,,,,,,,,,,,,,,,
	EffectOfExchangeRateChanges,"1,000,000","1,000,000","0","-2,000,000","2,000,000","0","3,000,000","0","2,000,000","-8,000,000","2,000,000","-2,000,000","1,000,000","0","-1,000,000","0","-3,000,000","-1,000,000","-1,000,000","1,000,000","0","4,000,000","-4,000,000","1,000,000","-1,000,000","4,000,000","-1,000,000","-6,000,000","-1,000,000","-7,000,000","-3,000,000","-7,000,000","1,000,000","1,000,000","-5,000,000","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	BeginningCashPosition,"2,141,000,000","953,000,000","1,179,000,000","1,591,000,000","2,141,000,000","2,476,000,000","2,568,000,000","1,733,000,000","2,962,000,000","1,750,000,000","2,215,000,000","1,310,000,000","1,274,000,000","1,756,000,000","1,475,000,000","846,000,000","520,000,000","1,109,000,000","972,000,000","838,000,000","584,000,000","547,000,000","340,000,000","266,000,000","234,000,000","221,000,000","265,000,000","262,000,000","485,000,000","684,000,000","387,000,000","440,000,000","392,000,000","861,000,000","354,000,000","393,000,000","1,075,000,000","417,000,000","254,000,000","465,000,000","1,312,000,000","826,000,000","524,000,000","634,000,000","154,000,000","1,113,000,000","838,000,000","1,171,000,000","1,245,000,000","1,642,000,000","1,019,000,000","1,346,000,000","653,000,000","508,000,000","494,000,000","505,000,000","317,000,000","488,000,000","559,000,000","497,000,000","1,171,000,000","364,000,000","223,000,000","524,000,000","481,000,000","184,000,000","402,000,000","404,000,000","589,000,000","347,000,000","317,000,000","771,000,000","526,000,000","764,000,000","547,000,000","312,000,000","313,000,000","361,000,000","394,000,000","243,000,000",,"341,000,000","352,000,000","86,000,000","217,000,000","-89,000,000","112,000,000","188,000,000","155,000,000","126,000,000","277,000,000","290,000,000","310,000,000","284,000,000","436,000,000",,,,"511,000,000",,,,"704,000,000",,,,"201,000,000",,,,"95,000,000",,,,"103,000,000"
IncomeTaxPaidSupplementalData,,,,,,,,,,"1,000,000",,"9,000,000","10,000,000","66,000,000",,"9,000,000","21,000,000","1,000,000",,"23,000,000","14,000,000","1,000,000",,"2,000,000","10,000,000","2,000,000",,"0","5,000,000","1,000,000",,"6,000,000","6,000,000","8,000,000",,"7,000,000","2,000,000","4,000,000",,,,,,,,,,"0","2,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,,"25,000,000",,"32,000,000","48,000,000","35,000,000",,"53,000,000","46,000,000","27,000,000",,"38,000,000","43,000,000","39,000,000",,"39,000,000","45,000,000","38,000,000",,"36,000,000","35,000,000","37,000,000",,"37,000,000","34,000,000","34,000,000",,"45,000,000","59,000,000","44,000,000",,"76,000,000","15,000,000","50,000,000",,"59,000,000","96,000,000","72,000,000",,,,,,,,,,"46,000,000","95,000,000","68,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-456,000,000","-122,000,000","-134,000,000","-113,000,000","-87,000,000","-93,000,000","-115,000,000","-84,000,000","-169,000,000","-131,000,000","-166,000,000","-152,000,000","-130,000,000","-110,000,000","-154,000,000","-119,000,000","-86,000,000","-115,000,000","-69,000,000","-65,000,000","-63,000,000","-80,000,000","-92,000,000","-116,000,000","-163,000,000","-179,000,000","-176,000,000","-163,000,000","-133,000,000","-200,000,000","-149,000,000","-93,000,000","-104,000,000","-90,000,000","-86,000,000","-102,000,000","-145,000,000","-126,000,000","-182,000,000","-115,000,000","-179,000,000","-162,000,000","-207,000,000","-95,000,000","-146,000,000","-94,000,000","-177,000,000","-49,000,000","-50,000,000","-50,000,000","-85,000,000","-63,000,000","-83,000,000","-109,000,000","-209,000,000","-132,000,000","-181,000,000","-150,000,000",,,"-100,000,000","-331,000,000","-153,000,000","-150,000,000","-104,000,000","-147,000,000","-150,000,000","-69,000,000","-60,000,000","-70,000,000","-97,000,000","-58,000,000","-45,000,000","-50,000,000","-73,000,000","-34,000,000","-50,000,000","-44,000,000",,"-17,000,000",,"-6,000,000","-90,000,000","-288,000,000","-72,000,000",,"-137,000,000","-108,000,000",,"-197,000,000","-153,000,000","-459,000,000","-97,000,000","-101,000,000","-80,000,000","-436,000,000","-306,000,000","-291,000,000","-207,000,000",,"-471,000,000",,"-157,000,000","-58,000,000","-24,000,000",,"-196,000,000",,"-167,000,000","-94,000,000","-47,000,000","-353,000,000","-184,000,000","-155,000,000","-38,000,000"
IssuanceOfCapitalStock,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","0","1,000,000","2,000,000","1,000,000","0","111,000,000","89,000,000","103,000,000","19,000,000","33,000,000","49,000,000","173,000,000","34,000,000","1,000,000","189,000,000","99,000,000","248,000,000","103,000,000","0","55,000,000","179,000,000","108,000,000",,,,,,,,,,,,,,,"0","0",,,"0","105,000,000",,,"250,000,000",,,"1,000,000","0","0","0","1,000,000","0","-1,000,000","1,000,000","145,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","99,000,000",,,,"-1,000,000","1,000,000",,,"2,000,000","1,000,000","1,000,000","2,000,000","580,000,000","3,000,000","400,000,000","4,000,000","4,000,000","2,000,000","2,000,000","5,000,000","1,000,000","2,000,000","0","235,000,000"
IssuanceOfDebt,,,"443,000,000","0","0","0","0","1,485,000,000","0","1,500,000,000","0","645,000,000","0","0","0","0","50,000,000","310,000,000","6,000,000","0","0","738,000,000","136,000,000","149,000,000","279,000,000","170,000,000","959,000,000","535,000,000",,,"0","8,000,000","0","0","375,000,000","20,000,000","148,000,000","400,000,000","95,000,000","1,056,000,000","108,000,000","372,000,000","377,000,000","-3,000,000","630,000,000","104,000,000","556,000,000","-5,000,000","5,000,000","0","400,000,000","0","386,000,000","120,000,000","200,000,000","0","510,000,000","0","0","0","0","1,025,000,000","496,000,000","0","800,000,000","116,000,000","0","0","0","650,000,000","15,000,000","339,000,000","-1,000,000","484,000,000",,,,,,,,,,,,"3,000,000","118,000,000","248,000,000","2,000,000","207,000,000","83,000,000","63,000,000","869,000,000","114,000,000","299,000,000","492,000,000","1,999,000,000","4,000,000","1,000,000","175,000,000","598,000,000","-6,000,000","90,000,000","9,000,000","-1,000,000","-12,000,000","50,000,000","95,000,000","68,000,000","1,063,000,000","25,000,000","177,000,000","7,000,000","12,000,000","15,000,000"
RepaymentOfDebt,"-1,883,000,000","-683,000,000","-1,200,000,000","0",,,"-98,000,000","-364,000,000",,,"-650,000,000","-56,000,000",,,"-238,000,000","-150,000,000","-75,000,000","0","-16,000,000","-108,000,000","0","-340,000,000","-226,000,000","-117,000,000","-520,000,000","-90,000,000","-801,000,000","-290,000,000","-670,000,000","0","-11,000,000","0","-72,000,000","-676,000,000","-173,000,000","-200,000,000","-946,000,000","-102,000,000","-183,000,000","-808,000,000","-1,007,000,000","-1,000,000","-113,000,000","-162,000,000","-301,000,000","-133,000,000","-495,000,000","-228,000,000","-3,000,000","-472,000,000","-27,000,000","-568,000,000","-204,000,000","-106,000,000","-120,000,000","-3,000,000","-220,000,000","0","-475,000,000","250,000,000","-650,000,000","-425,000,000","-671,000,000","0","-222,000,000","-20,000,000","-80,000,000","0","-329,000,000","-280,000,000","788,000,000","-1,129,000,000","-92,000,000","-797,000,000","-772,000,000","-179,000,000","-21,000,000","-35,000,000","41,000,000","-11,000,000","-11,000,000","-34,000,000","-9,000,000","-436,000,000","-129,000,000","-129,000,000","-9,000,000","-6,000,000","-9,000,000","-174,000,000","-89,000,000","-96,000,000","-955,000,000","-11,000,000","-335,000,000","69,000,000","-1,780,000,000","-153,000,000","-34,000,000","-178,000,000","-38,000,000","-54,000,000","-226,000,000","-200,000,000","-6,000,000","-37,000,000","-12,000,000","167,000,000","-29,000,000","-1,172,000,000","-26,000,000","-162,000,000","-154,000,000","-54,000,000","-53,000,000"
RepurchaseOfCapitalStock,,,"0","0","0","0","0","-22,000,000","0","-147,000,000","-87,000,000","-195,000,000",,,,,,,"0","0","0","0","-12,000,000","-44,000,000","-81,000,000","-81,000,000","-345,000,000","-199,000,000",,,,,,,,,,,,,,,"0","0",,,"0","0",,,"0","0","0","0","0","-28,000,000","-37,000,000","-35,000,000",,"0",,,"0","-150,000,000",,,"0","0",,,"-104,000,000",,,,,,,,,,,,,,,,"0","0","0","0","-59,000,000",,,"1,000,000","-4,000,000",,,,,,,,,,,,,,,,,,,,
FreeCashFlow,"146,000,000","139,000,000","80,000,000","5,000,000","-78,000,000","-142,000,000","-258,000,000","-233,000,000","-341,000,000","26,000,000","170,000,000","138,000,000","287,000,000","97,000,000","205,000,000","167,000,000","321,000,000","133,000,000","297,000,000","187,000,000","340,000,000","129,000,000","294,000,000","189,000,000","230,000,000","40,000,000","177,000,000","93,000,000","256,000,000","-27,000,000","237,000,000","146,000,000","250,000,000","81,000,000","236,000,000","135,000,000","138,000,000","51,000,000","175,000,000","8,000,000","50,000,000","-89,000,000","55,000,000","48,000,000","73,000,000","-57,000,000","15,000,000","60,000,000","120,000,000","-1,000,000","97,000,000","52,000,000","52,000,000","11,000,000","96,000,000","142,000,000","31,000,000","79,000,000","368,000,367","743,999,633","99,000,000","-210,000,000","122,000,000","169,000,000","83,000,000","-47,000,000","53,000,000","68,000,000","64,000,000","-22,000,000","70,000,000","53,000,000","-1,000,000","-12,000,000","143,000,000","24,000,000","37,000,000","-32,000,000","96,000,000","108,000,000","167,000,000","111,000,000","-31,000,000","-231,000,000","61,000,000","219,000,000","-302,000,000","-23,000,000","256,000,000","-44,000,000","-85,000,000","-369,000,000","34,000,000","-7,000,000","-76,000,000","-373,000,000","-234,000,000","-184,000,000","-108,000,000","540,000,000","-351,000,000","182,000,000","-67,000,000","35,000,000","-6,000,000","169,000,000","-156,000,000","135,000,000","-68,000,000","-57,000,000","-28,000,000","-323,000,000","-98,000,000","-125,000,000","-26,000,000"
