name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991
	InterestIncomeNonOperating,,,,,,,,,"276,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,"51,000","50,000","50,000","51,000","51,000","51,000","50,000","50,000","50,000","51,000","50,000","50,000","51,000","50,000","38,000","50,000","40,000","62,000","51,000","60,000","81,000","106,000","124,000","145,000","153,000","166,000","196,000","224,000","116,000","31,000","32,000","22,000","31,000","31,000","23,000","17,000","31,000","20,000","31,000","31,000","32,000","27,000","30,000","24,000","28,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-260,000","-157,000","-81,000","-7,000","-15,000","-90,000","64,000","63,000","276,000","824,000","1,032,000","1,072,000","781,000","868,000","1,235,000","1,187,000","855,000","459,000","426,000","306,000","311,000","121,000","197,000","122,000","97,000","-69,000","-2,000","-39,000","-35,000","-3,000","-70,000","-23,000","1,197,000","-816,000","208,000","-18,000","-40,000","-65,000","-23,000","-86,000","-36,000","-73,000","-11,000","-47,000","-23,000","-47,000","15,000","24,000","-12,000","-31,000","-23,000","-325,000","28,000","-458,000","662,000","565,000","198,000","112,000","194,000","373,000","374,000","1,322,000","456,000",,"40,000","1,537,000","424,000","293,000","162,000","793,000","205,000","126,000","75,000","115,000","144,000","148,000","137,000","66,000","174,000","241,000","225,000","123,000","204,000","319,000","221,000","248,000","292,000","515,000","451,000","3,754,000","400,000","400,000","300,000","300,000","200,000","400,000","400,000","400,000","400,000","400,000","400,000","200,000","100,000","200,000","400,000",,,"300,000","400,000",,,"200,000","200,000","-9,100,000","-200,000","-300,000","700,000","-14,000,000","100,000","200,000","200,000","200,000","200,000","300,000",
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,000",,"-86,000","-36,000","-73,000","-11,000","-47,000","-23,000","-47,000","15,000","24,000","-12,000","-31,000","-23,000","-325,000","28,000","-458,000","662,000","565,000","198,000","112,000","194,000","373,000","374,000","1,322,000","456,000",,"40,000","1,537,000","424,000","293,000","162,000","793,000","205,000","126,000","75,000","115,000","144,000","148,000","137,000","66,000","174,000","241,000","225,000","123,000","204,000","319,000","221,000","248,000","292,000","515,000","451,000","3,754,000","400,000","400,000","300,000","300,000","200,000","400,000","400,000","400,000","400,000","400,000","400,000","200,000","100,000","200,000","400,000",,,"300,000","400,000",,,"200,000","200,000","-9,100,000","-200,000","-300,000","700,000","-14,000,000","100,000","200,000","200,000","200,000","200,000","300,000",
	OtherNonOperatingIncomeExpenses,"-260,000","-157,000","-81,000","-7,000","-15,000","-90,000","64,000","63,000","276,000","824,000","1,032,000","1,072,000","781,000","868,000","1,235,000","1,187,000","855,000","459,000","426,000","306,000","311,000","121,000","197,000","122,000","97,000","-69,000","-2,000","-39,000","-35,000","-3,000","-70,000","-23,000","1,197,000","-816,000","208,000","-18,000","-40,000","-2,000","-23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"207,596,000","45,114,000","40,615,000","51,554,000","70,313,000","51,311,000","48,227,000","61,653,000","66,947,000","47,287,000","34,194,000","42,666,000","45,308,000","34,571,000","32,202,000","53,294,000","63,809,000","50,410,000","46,126,000","50,912,000","58,041,000","44,460,000","36,908,000","37,392,000","44,065,000","26,351,000","17,076,000","23,271,000","26,007,000","18,457,000","13,346,000","19,633,000","23,277,000","15,435,000","10,282,000","18,965,000","18,427,000","17,848,000","12,284,000","18,347,000","21,972,000","17,336,000","11,778,000","17,112,000","20,670,000","16,584,000","11,501,000","15,849,000","18,716,000","14,674,000","8,579,000","12,925,000","15,207,000","10,759,000","5,832,000","10,114,000","12,092,000","8,852,000","5,044,000","10,043,000","11,139,000","9,580,000","4,733,000","8,969,000","15,224,000","8,446,000","3,672,000","7,182,000","15,592,000","4,583,000","943,000","6,635,000","14,261,000","7,834,000","2,150,000","6,494,000","13,621,000","7,453,000","1,762,000","6,219,000","13,027,000","7,155,000","1,506,000","5,818,000","12,343,000","6,774,000","859,000","5,356,000","11,227,000","6,585,000","200,000","4,500,000","10,600,000","6,100,000",,"4,800,000","10,100,000","4,600,000","1,500,000","5,200,000","9,600,000","3,800,000","1,000,000","4,100,000","8,100,000","3,200,000","700,000","3,500,000","7,100,000","3,200,000","500,000","3,300,000","7,200,000","-2,200,000","-1,200,000","2,900,000","6,800,000","-10,400,000",,"3,100,000","7,800,000","2,100,000","-100,000","3,200,000",
TaxProvision,"49,084,000","10,770,000","9,547,000","12,270,000","16,497,000","12,180,000","11,540,000","14,489,000","15,783,000","11,074,000","7,631,000","10,012,000","10,766,000","8,435,000","7,393,000","12,216,000","14,979,000","13,968,000","5,046,000","16,932,000","19,769,000","15,299,000","12,623,000","12,788,000","15,070,000","8,814,000","5,840,000","7,959,000","8,894,000","6,275,000","4,538,000","6,675,000","7,914,000","3,503,000","3,146,000","6,468,000","6,357,000","5,751,000","3,870,000","6,330,000","7,580,000","5,805,000","3,874,000","5,989,000","7,235,000","5,497,000","4,094,000","5,642,000","6,663,000","5,463,000","3,054,000","4,601,000","5,414,000","3,905,000","2,178,000","3,631,000","4,341,000","3,288,000","1,790,000","3,566,000","3,954,000","3,440,000","1,699,000","3,220,000","5,465,000","2,774,000","1,375,000","2,608,000","5,909,000","1,259,000","357,000","2,515,000","5,405,000","2,970,000","794,000","2,473,000","5,171,000","2,847,000","673,000","2,376,000","4,976,000","2,738,000","576,000","2,229,000","4,727,000","2,591,000","327,000","2,041,000","4,277,000","2,602,000","100,000","1,700,000","4,000,000","2,300,000",,"1,800,000","3,800,000","1,700,000","600,000","1,900,000","3,600,000","1,400,000","400,000","1,500,000","3,000,000","1,200,000","300,000","1,300,000","2,700,000","1,200,000","200,000","1,200,000","2,900,000","-1,000,000","-400,000","1,500,000","2,600,000","1,000,000",,"1,300,000","3,300,000","1,900,000","200,000","1,600,000",
NetIncomeCommonStockholders,"158,512,000","34,344,000","31,068,000","39,284,000","53,816,000","39,131,000","36,687,000","47,164,000","51,164,000","36,213,000","26,563,000","32,654,000","34,542,000","26,136,000","24,809,000","41,078,000","48,830,000","36,442,000","41,080,000","33,980,000","38,272,000","29,161,000","24,285,000","24,604,000","28,995,000","17,411,000","11,199,000","15,275,000","17,075,000","12,145,000","8,770,000","12,921,000","15,200,000","11,655,000","6,986,000","12,348,000","11,920,000","11,944,000","8,414,000","12,017,000","14,392,000","11,531,000","7,904,000","11,123,000","13,435,000","11,087,000","7,407,000","10,207,000","12,053,000","9,211,000","5,525,000","8,324,000","9,793,000","6,854,000","3,654,000","6,483,000","7,751,000","5,564,000","3,254,000","6,477,000","7,185,000","6,140,000","3,034,000","5,749,000","9,759,000","5,672,000","2,297,000","4,574,000","9,683,000","3,324,000","586,000","4,120,000","8,856,000","4,864,000","1,356,000","4,021,000","8,450,000","4,606,000","1,089,000","3,843,000","8,051,000","4,417,000","930,000","3,589,000","7,616,000","4,183,000","532,000","3,315,000","6,950,000","3,983,000","100,000","2,800,000","6,600,000","3,800,000",,"3,000,000","6,300,000","2,900,000","900,000","3,300,000","6,000,000","2,400,000","600,000","2,600,000","5,100,000","200,000","400,000","1,900,000","4,100,000","1,400,000","300,000","1,800,000","4,300,000","8,300,000","-800,000","1,200,000","4,200,000","-12,500,000","-900,000","1,800,000","4,500,000","200,000","-300,000","1,600,000",
	NetIncome,"158,512,000","34,344,000","31,068,000","39,284,000","53,816,000","39,131,000","36,687,000","47,164,000","51,164,000","36,213,000","26,563,000","32,654,000","34,542,000","26,136,000","24,809,000","41,078,000","48,830,000","36,442,000","41,080,000","33,980,000","38,272,000","29,161,000","24,285,000","24,604,000","28,995,000","17,537,000","11,236,000","15,312,000","17,113,000","12,182,000","8,808,000","12,958,000","15,363,000","11,932,000","7,136,000","12,497,000","12,070,000","12,097,000","8,414,000","12,017,000","14,392,000","11,531,000","7,904,000","11,123,000","13,435,000","11,087,000","7,407,000","10,207,000","12,053,000","9,211,000","5,525,000","8,324,000","9,793,000","6,854,000","3,654,000","6,483,000","7,751,000","5,564,000","3,254,000","6,477,000","7,185,000","6,140,000","3,034,000","5,749,000","9,759,000","5,672,000","2,297,000","4,574,000","9,683,000","3,324,000","586,000","4,120,000","8,856,000","4,864,000","1,356,000","4,021,000","8,450,000","4,606,000","1,089,000","3,843,000","8,051,000","4,417,000","930,000","3,589,000","7,616,000","4,183,000","532,000","3,315,000","6,950,000","3,983,000","100,000","2,800,000","6,600,000","3,800,000",,"3,000,000","6,300,000","2,900,000","900,000","3,300,000","6,000,000","2,400,000","600,000","2,600,000","5,100,000","2,000,000","400,000","2,200,000","4,400,000","2,000,000","300,000","2,100,000","4,300,000","8,800,000","-800,000","1,400,000","4,200,000","-11,400,000","-900,000","1,800,000","4,500,000","200,000","-300,000","1,600,000",
		NetIncomeIncludingNoncontrollingInterests,"158,512,000","34,344,000","31,068,000","39,284,000","53,816,000","39,131,000","36,687,000","47,164,000","51,164,000","36,213,000","26,563,000","32,654,000","34,542,000","26,136,000","24,809,000","41,078,000","48,830,000","36,442,000","41,080,000","33,980,000","38,272,000","29,161,000","24,285,000","24,604,000","28,995,000","17,537,000","11,236,000","15,312,000","17,113,000","12,182,000","8,808,000","12,958,000","15,363,000","11,932,000","7,136,000","12,497,000","12,070,000","12,097,000","8,414,000","12,017,000","14,392,000","11,531,000","7,904,000","11,123,000","13,435,000","11,087,000","7,407,000","10,207,000","12,053,000","9,211,000","5,525,000","8,324,000","9,793,000","6,854,000","3,654,000","6,483,000","7,751,000","5,564,000","3,254,000","6,477,000","7,185,000","6,140,000","3,034,000","5,749,000","9,759,000","5,672,000","2,297,000","4,574,000","9,683,000","3,324,000","586,000","4,120,000","8,856,000","4,864,000","1,356,000","4,021,000","8,450,000","4,606,000","1,089,000","3,843,000","8,051,000","4,417,000","930,000","3,589,000","7,616,000","4,183,000","532,000","3,315,000","6,950,000","3,983,000","100,000","2,800,000","6,600,000","3,800,000",,"3,000,000","6,300,000","2,900,000","900,000","3,300,000","6,000,000","2,400,000","600,000","2,600,000","5,100,000","2,000,000","400,000","2,200,000","4,400,000","2,000,000","300,000","2,100,000","4,300,000","8,800,000","-800,000","1,400,000","4,200,000","-12,400,000","0","1,800,000","4,500,000","1,300,000","-300,000","1,600,000","4,100,000"
